a,b%0r,c,d
a,101109,x5,y5
padding,101108,padding,padding
a,101107,x4,y4
padding,101106,padding,padding
padding,101105,padding,padding
padding,101104,padding,padding
a,101103,x3,y3
padding,101102,padding,padding
a,101101,x3,y3
padding,101100,padding,padding
padding,101059,padding,padding
padding,101058,padding,padding
padding,101057,padding,padding
padding,101056,padding,padding
a,101055,x2,y2
padding,101054,padding,padding
padding,101053,padding,padding
padding,101052,padding,padding
padding,101051,padding,padding
a,101050,x1,y1
